 Close valve HP_IN
 Close valve HP_OUT
 Close valve L1_OUT
 Close valve L2_OUT
 Close valve L3_OUT
 Close valve L_HP
 Close valve LR1
 Close valve LR2
 Close valve LR3
 Close valve LR4
 Close valve LRW2
 Close valve LWASTE
 Close valve R1_4
 Close valve V21
 Close valve V24
 Close valve V4
 Close valve VH
 Close valve W1
 Close valve W2
 Close valve W3
 Open valve HP_IN
 Open valve W2
 Open valve R1_4
 Open valve V21
[19:45:28]: Forward liquid flow activated
[19:45:28]: AIR
 Open valve HP_OUT
 Open valve L_HP
 Open valve V24
 Close valve V24
 Close valve L_HP
 Close valve HP_OUT
[19:46:08]: W2 OH-
 Open valve LRW2
[19:49:07]: 9328
[19:49:08]: 9326
[19:49:08]: 9328
[19:49:08]: 9327
[19:49:09]: 9326
[19:49:09]: 9326
[19:49:09]: 9325
[19:49:10]: 9328
[19:49:10]: 9327
[19:49:10]: 9325
[19:49:11]: 9326
[19:49:11]: 9326
[19:49:11]: 9326
[19:49:11]: 9326
[19:49:12]: 9326
[19:49:12]: 9326
[19:49:12]: 9325
[19:49:13]: 9327
[19:49:13]: 9327
[19:49:13]: 9326
[19:49:14]: 9325
[19:49:14]: 9325
[19:49:14]: 9325
[19:49:15]: 9326
[19:49:15]: 9325
[19:49:15]: 9324
[19:49:15]: 9327
[19:49:16]: 9324
[19:49:16]: 9327
[19:49:16]: 9325
[19:49:17]: 9325
[19:49:17]: 9325
[19:49:17]: 9326
[19:49:18]: 9325
[19:49:18]: 9324
[19:49:18]: 9324
[19:49:19]: 9325
[19:49:19]: 9325
[19:49:19]: 9325
[19:49:20]: 9325
[19:49:20]: 9324
[19:49:20]: 9324
[19:49:21]: 9324
[19:49:21]: 9325
[19:49:21]: 9324
[19:49:21]: 9325
[19:49:22]: 9324
[19:49:22]: 9325
[19:49:22]: 9325
 Close valve LR2
[19:49:24]: SQUARE H+
 Open valve LR3
[19:49:24]: 9337
[19:49:24]: 9289
[19:49:25]: 9266
[19:49:25]: 9396
[19:49:25]: 9371
[19:49:25]: 9376
[19:49:26]: 9367
[19:49:26]: 9350
[19:49:26]: 9421
[19:49:27]: 9337
[19:49:27]: 9469
[19:49:27]: 9327
[19:49:28]: 9339
[19:49:28]: 9326
[19:49:28]: 9325
[19:49:29]: 9305
[19:49:29]: 9332
[19:49:29]: 9270
[19:49:30]: 9313
[19:49:30]: 9296
[19:49:30]: 9301
