 Close valve HP_IN
 Close valve HP_OUT
 Close valve L1_OUT
 Close valve L2_OUT
 Close valve L3_OUT
 Close valve L_HP
 Close valve LR1
 Close valve LR2
 Close valve LR3
 Close valve LR4
 Close valve LRW2
 Close valve LWASTE
 Close valve R1_4
 Close valve V21
 Close valve V24
 Close valve V4
 Close valve VH
 Close valve W1
 Close valve W2
 Close valve W3
 Open valve HP_IN
 Open valve W2
 Open valve R1_4
 Open valve V21
[19:59:27]: Forward liquid flow activated
[19:59:27]: AIR
 Open valve HP_OUT
 Open valve L_HP
 Open valve V24
 Close valve V24
 Close valve L_HP
 Close valve HP_OUT
[20:00:08]: W2 OH-
 Open valve LRW2
[20:03:38]: 9418
[20:03:38]: 9418
[20:03:38]: 9418
[20:03:39]: 9416
[20:03:39]: 9416
[20:03:39]: 9416
[20:03:40]: 9415
[20:03:40]: 9415
[20:03:40]: 9414
[20:03:41]: 9415
[20:03:41]: 9413
[20:03:41]: 9413
[20:03:42]: 9412
[20:03:42]: 9412
[20:03:42]: 9413
[20:03:43]: 9413
[20:03:43]: 9410
[20:03:43]: 9411
[20:03:44]: 9410
[20:03:44]: 9410
[20:03:44]: 9410
[20:03:44]: 9410
[20:03:45]: 9410
[20:03:45]: 9408
[20:03:45]: 9407
[20:03:46]: 9407
[20:03:46]: 9408
[20:03:46]: 9407
[20:03:47]: 9407
[20:03:47]: 9407
[20:03:47]: 9405
[20:03:48]: 9407
[20:03:48]: 9406
[20:03:48]: 9404
[20:03:49]: 9404
[20:03:49]: 9405
[20:03:49]: 9405
[20:03:49]: 9404
[20:03:50]: 9403
[20:03:50]: 9403
[20:03:50]: 9402
[20:03:51]: 9401
[20:03:51]: 9401
[20:03:51]: 9402
[20:03:52]: 9401
[20:03:52]: 9401
[20:03:52]: 9401
[20:03:53]: 9399
[20:03:53]: 9399
[20:03:53]: 9399
[20:03:54]: 9399
[20:03:54]: 9399
[20:03:54]: 9399
[20:03:55]: 9399
[20:03:55]: 9397
[20:03:55]: 9398
[20:03:56]: 9397
[20:03:56]: 9397
[20:03:56]: 9397
[20:03:57]: 9397
[20:03:57]: 9395
[20:03:57]: 9396
[20:03:58]: 9395
[20:03:58]: 9395
[20:03:58]: 9395
[20:03:59]: 9394
[20:03:59]: 9393
[20:03:59]: 9394
[20:04:00]: 9394
[20:04:00]: 9393
[20:04:00]: 9393
[20:04:01]: 9392
[20:04:01]: 9392
[20:04:01]: 9392
[20:04:02]: 9392
[20:04:02]: 9391
[20:04:02]: 9391
[20:04:03]: 9390
[20:04:03]: 9390
[20:04:03]: 9389
[20:04:04]: 9389
[20:04:04]: 9390
[20:04:04]: 9389
[20:04:04]: 9390
[20:04:05]: 9390
[20:04:05]: 9388
[20:04:05]: 9387
[20:04:06]: 9389
[20:04:06]: 9388
[20:04:06]: 9387
[20:04:07]: 9388
[20:04:07]: 9387
[20:04:07]: 9387
[20:04:08]: 9386
[20:04:08]: 9386
[20:04:08]: 9385
[20:04:09]: 9386
[20:04:09]: 9385
[20:04:09]: 9385
[20:04:10]: 9384
[20:04:10]: 9384
[20:04:10]: 9385
[20:04:11]: 9383
[20:04:11]: 9384
[20:04:11]: 9383
[20:04:11]: 9383
 Close valve LR2
[20:04:13]: W2 OH-
 Open valve LRW2
[20:04:13]: 9382
[20:04:13]: 8710
[20:04:14]: 8647
[20:04:14]: 8648
[20:04:14]: 8645
[20:04:15]: 8635
